	TCGA-BH-A0B5	TCGA-BH-A0C3	TCGA-A7-A13F	TCGA-BH-A18P	TCGA-AC-A2FM
HIRA	2.517160223	2.784660395	2.601641152	4.983372374	3.558661032
RIN1	1.295401606	0.931459331	1.308974224	0.461259579	3.720741403
RIN3	2.858607876	2.554318794	2.43561638	1.788680082	1.165104842
RIN2	30.66102857	19.34860775	11.02027946	18.27419424	4.356932836
WWOX	1.436127391	1.571922308	6.539169487	0.824534504	2.337367309
LNX1-AS1	0	0	0.026380486	0.013631851	0
RIPK1	13.5593592	13.3227939	13.50142151	17.03246194	11.80711326
RIPK3	4.725582261	3.574378356	0.911905165	5.151596401	2.098409669
RIPK2	7.984897382	8.360135407	15.08334517	7.138865465	6.433003822
PDCL	8.472923433	7.408813993	5.985084183	11.90432724	13.70828655
IGFBP7-AS1	0.058304266	0.056301405	0.031406423	0.010819303	0.018969465
SRCIN1	3.461997098	0.821832442	2.096886542	6.433448105	3.210652722
LOC339666	0.097672744	0.238937668	0.1286091	0.241663503	0.084741641
PRAMEF4	0	0	0	0	0
CRABP1	0.068109717	0.059193017	0.091720671	1.346038939	0.083098865
FAM149A	0.861937733	1.445623261	0.384003407	0.303056592	0.430139343
C7orf73	16.13313341	12.48698915	12.50345118	12.66240284	13.55424062
C7orf72	0	0	0	0	0
LOC102467222	0	0	0	0	0
WWC2-AS1	0	0	0	0	0
ZNF419	1.532889635	1.353005431	1.028160317	0.639430522	6.093987988
ZNF418	3.399678884	0.400476731	1.813073743	1.442974331	15.08078784
ZNF417	2.751007192	1.729058452	1.646521313	2.476343846	11.79657961
ZNF416	2.898366312	2.708271232	2.517909701	2.05824456	14.20932177
ZNF415	4.781721046	2.581285346	2.486591068	6.977419888	4.889906518
ZNF414	3.892940759	2.017541846	3.355180723	3.139873079	4.356236517
ZNF410	0.473671402	0.400288085	0.19735347	0.527384495	0.850587167
AGBL1-AS1	0	0	0	0	0
LOXL1-AS1	2.407450971	1.930974112	2.710133965	1.489634212	1.517017907
LOC101927870	0.093072865	0.057520407	0.01336934	0.013816944	0.169576575
SSSCA1	7.50260923	6.342319572	6.649465447	3.975123916	9.040726069
POU4F1	0	0.008617941	0	0	0
LINC01541	0.005445487	0	0	0	0
POU4F3	0.028609538	0.033152096	0.015410935	0.079634462	0.223396744
LINC01547	1.948012266	1.305700795	1.248216114	1.715283139	1.944870104
LINC01546	0.050172811	0.087208704	0.081078896	0.027931138	0
LINC01545	0.85812482	0.441944859	0.513601276	0.24770509	0
FBF1	0.894270159	0.783016948	1.566915009	0.618103505	1.672164957
RASA4	0.079548473	0.215892918	0.135315528	0.037292236	0.061297887
LINC01549	0.023681004	0	0	0	0
LINC01548	0.170503232	0	0	0	0
HM13	10.02827548	17.40044452	16.79307712	18.30223553	17.67022732
RASA2	5.041718647	4.024502933	2.735550265	4.73388276	3.144822659
RASA3	7.792059758	10.74462008	3.30047678	4.46233205	2.834308087
ACTN3	0.028845443	0.044567276	0	0.02141096	0.06569465
ACTN2	0.006115095	0.024801125	0.016469914	0.010212796	0.017906077
ACTN1	31.2593939	22.70348573	38.63256019	30.67440342	23.50178532
ACTN4	105.0318178	65.70589953	89.55815991	98.13817323	90.57132484
EZR	82.4972219	45.17151645	75.8552509	207.5489968	131.0052704
PRR29-AS1	0.011557237	0.04687294	0.03112735	0.012867797	0.033841629
MIR4269	0	0.466497352	0	0.448228258	0
MIR4268	0	0	0	0	0
MIR4263	3.666846619	1.416353405	4.608797958	4.763100287	1.193019361
MIR4262	0	0	0	0	0
MIR4261	3.49825597	0	0.942192686	0	0.853625922
MIR4260	12.85790648	8.124696196	15.01787076	9.858535775	1.820024666
MIR4267	0	0	0	0	0
MIR4266	0	0	0	0	0
MIR4265	0	0	0	0	0
MIR4264	0	0	0	0	0
N6AMT1	4.462523443	2.714410489	4.691532118	4.844734786	3.711152588
OR5J2	0	0	0	0	0
ABLIM1	19.44678521	20.66473153	7.577121663	24.44980482	1.84913368
ABLIM3	5.787414611	10.87981588	11.70344591	1.003162759	4.218940279
ABLIM2	0.715574264	0.511766643	1.26778316	0.289432894	0.826672285
LINC00632	0.044968716	0.071649527	1.816727919	0.062585063	0.043892113
LINC00633	0	0	0	0	0
LINC00630	0.655261583	0.312371295	0.361901826	1.302137722	0.643621802
LINC00636	0.02675354	0.124005625	0	0	0.013056515
LINC00637	0.024671552	0.066707306	0.008859789	0.054938483	0.064215698
LINC00634	0.177864428	0.051526335	0.179642261	0.049508447	0.043401537
LINC00635	0.007437096	0	0	0	0
LINC00638	0.946807563	1.7118489	0.455754842	0.642970798	1.068331939
LINC00639	0.163515874	0.451523363	0.104946565	0.174310989	0.139226505
BIVM-ERCC5	0	0.009430993	0	0.009061654	0.003971946
TSPOAP1-AS1	0.328679979	0.277488844	0.202340742	0.16729208	0.137490429
RAB6A	50.71435112	22.91039383	21.42282395	69.923059	22.39559207
RAB6B	0.596926942	1.259426322	0.494448496	0.426358004	0.780512139
RAB6C	2.017991235	0.618052101	0.592381309	1.071374861	0.423990675
LOC100506368	0.242760046	0.379761663	0.392298462	0.081086519	0.082931832
DLGAP4-AS1	0.097133903	0.104516846	0.037373257	0.06952412	0.162528694
DAOA	0	0	0	0	0
ERVV-1	0.015357164	0.00889777	0.008272355	0.008549313	0
ERVV-2	0	0	0	0	0
KRTAP5-AS1	0.294206788	0.601624015	0.758211696	2.003951927	0.805182918
GDI2	72.0685835	69.94753595	66.09241453	94.92147498	61.45104781
LOC105374428	0	0	0	0	0
GDI1	31.76728353	20.8043973	26.52647663	29.92537636	72.66409458
CALM3	82.38788712	56.80174543	85.41570655	53.74045354	95.53719866
LOC105370333	5.018764817	5.79417302	6.204918463	12.57788388	3.904427
SPG21	20.33317379	26.40417164	36.11596733	26.25375515	16.30874036
TFAP4	2.286813826	2.002374802	1.39159157	1.225206618	2.108294352
SPDL1	4.71108723	2.789023312	4.320371933	4.035461782	2.404519659
SPG20	4.233015698	14.46996341	5.90934441	5.617906456	1.813904966
MIR7109	5.672135546	7.622503308	9.76336654	5.901343498	16.45064462
MIR7108	20.6061359	12.10127795	13.79593036	19.55338016	14.8506605
MIR7107	4.022579221	2.416211784	2.805299244	2.785904947	4.452038595
MIR7106	0	0	0	0	0
SPTA1	0.020239286	0.019544029	0.00545109	0.015022912	0.027985874
HGSNAT	12.88867862	14.4005432	21.65192436	9.756971379	29.10568812
CRYZL1	4.489154766	3.482757304	3.117050608	3.285410818	3.759160165
SERF2	41.45475384	49.65025223	135.0621524	49.57122678	47.90870436
OR4L1	0	0	0	0	0
NAV2-AS2	0.021621787	0	0.116468832	0	0
NAV2-AS4	0	0	0.015423984	0	0
NAV2-AS5	0.009634323	0	0	0	0
PGM5P4-AS1	0.011782744	0.13653581	0	0	0
NAT9	5.349333622	11.637663	6.919186331	5.955933997	6.574472671
NAT8	0.160690744	0.041378857	0.01923519	0.437342039	0.104562415
NAT2	0.19184838	0.14820642	0.041336744	0.968335783	0.174771621
NAT1	130.5478162	20.51439774	57.43588373	15.5275437	89.58635197
NAT6	4.404796708	3.787839099	5.078424319	1.39385058	4.97818408
ADGRL4	7.401848091	22.6370915	10.41710175	8.76961701	8.647107159
ADGRL2	3.744060259	7.648655443	2.870726886	2.733764611	2.209255224
ADGRL3	0.120790379	0.281338094	0.052052365	0.052450199	0.042443466
ADGRL1	11.30801865	6.392448333	10.70578975	10.46531386	9.652768804
FAIM2	0.446643214	0.142329058	0.180443044	5.781012306	0.302440355
COX5A	34.11605335	39.47737971	77.79444397	37.21088712	33.87239284
COX5B	40.2817337	35.86817528	45.69732604	29.74730136	42.13472277
TMEM257	0.006926767	0	0	0	0
TMEM256	17.88877145	32.20217362	54.80176469	19.70429175	41.99388778
TMEM254	30.0634778	15.64946022	33.25160263	20.74836041	41.83697764
TMEM253	0.181067303	0.089921468	0.130045973	0.105599926	0.10098991
TMEM252	0.08148548	0.440643282	0.160942151	0	0.079534624
TMEM251	7.11013051	9.631376091	8.914362254	10.20581265	14.84704583
LOC401585	0	0	0	0	0
SIPA1L1	6.179162414	3.333885037	4.853319646	6.01229667	3.238991817
SIPA1L3	12.28648875	5.55274032	8.188704362	17.35924941	36.34747712
SIPA1L2	8.519397091	9.061807212	11.28321263	18.38950141	11.22691435
QKI	3.794812791	8.75294933	4.482612263	5.016398891	2.015418273
SLC35F5	6.250029381	12.95578125	6.774928577	13.75317218	3.814964509
SLC35F4	0.007975584	0.009241929	0.038665455	0.026639981	0.003892319
SLC35F6	24.27904996	26.3213539	24.80270331	20.68788222	15.14577113
SLC35F1	0.05920495	0.141246366	0.101302695	0.162857806	0.146168421
SLC35F3	0.164054884	0.122647191	0.136831739	0.041245417	0.077480913
SLC35F2	5.695214678	5.155191072	6.032703202	2.33990345	2.61515279
SUPV3L1	6.494057944	5.85087666	5.796879182	7.604077807	6.415647545
LMAN1L	0.004115929	0	0	0	0
TRMT112	49.60096411	51.61671189	62.87507877	28.85817652	47.8955059
TSPAN19	0.01241731	0	0.004459174	0	0.004040008
MPC2	27.02535246	23.52375047	33.66197506	23.87131624	19.99554054
MPC1	8.815031807	14.94179551	10.85167074	10.53307414	12.24413931
TSPAN10	0.701985822	0.388141527	1.792780548	0.337233906	0.528666395
TSPAN11	0.846243841	2.162296877	0.276577861	0.431403157	0.610207124
TSPAN12	0.903646881	3.97907836	1.141187064	6.008760648	3.057643446
TSPAN13	94.11289035	67.3769844	214.1740108	107.3244675	550.334628
TSPAN14	8.217811612	6.994643766	6.852281714	8.284605304	10.57297402
TSPAN15	64.98105214	37.904761	48.12779113	90.89784489	11.42017708
TSPAN16	0.02166334	0.188272474	0.0350078	0.024119906	0.021144695
TSPAN17	11.4612883	9.877220436	8.948933485	12.76457816	13.17110151
LOC101929109	0.074532532	0.098704729	0	0.011854904	0.010392591
LOC101929106	0	0	0.006812164	0.028160938	0
EAF1	11.46688291	12.48133947	15.59933615	11.94869352	16.12224104
EAF2	0.926609609	1.339400871	0.596899472	7.243064771	1.557103707
FOXF1	0.038471529	0.26747971	0.051808092	0.171336399	0.098570001
FOXF2	1.93281175	2.212822828	1.157743855	1.041561961	1.139468957
RBPJL	0.030597606	0	0.006592734	0	0.017919039
TMUB1	10.43166554	9.381133775	16.25333292	11.59581035	17.69694971
TMUB2	12.04428972	13.90085045	17.95112772	9.501264568	24.17464073
SCGB1C1	0.039230249	0	0.042263864	0.043678856	0
SCGB1C2	0	0	0	0	0
KIAA1644	0.746356789	0.708141736	0.199668741	0.379244528	0.041558049
SYNCRIP	21.36558235	18.49205736	18.28898778	38.69283323	21.90602134
LOC100240728	0	0	0	0	0
TBC1D7-LOC100130357	1.60118969	2.084400094	2.387796276	1.585431953	1.465425449
MMAA	1.775177696	1.656348158	1.233838366	2.788158427	1.65743754
PRR23D1	0	0	0	0	0
TYR	0.005606179	0.019488948	0.006039697	0	0
ALG8	10.74418436	182.8991621	23.26625698	21.59919419	10.46781069
ALG9	1.236519031	1.141879328	1.218473573	0.841078259	1.136889535
ALG2	8.048842376	9.182319309	15.6876293	14.8938602	13.4550294
ALG3	9.025210901	14.73991574	23.09568861	9.564963295	13.63057913
ALG1	5.795283253	9.940253399	6.766072329	3.935954546	10.12009985
ALG6	5.619000035	3.491096544	6.601820429	2.59755067	4.310897132
ALG5	13.82560507	17.69075326	14.18070135	17.19529446	25.34939574
WIF1	0.028561211	0.273042791	0.015384903	0.095399933	0.243927452
PDXP	0.107451348	0.080043576	0.34728119	0.119636049	0.546868233
RNGTT	3.374080692	3.435530944	2.756814401	5.625465232	6.348249519
KIAA1324L	5.986120202	4.95677149	1.598225063	0.6889956	7.445357202
ERI3-IT1	0.273154074	0.221567401	0.176565996	0.243303223	0.10664578
INSL5	0.070943653	0.054805283	0	0.078988476	0.023081727
HAR1B	0.037741601	0.896549598	0.081320202	0.0210107	0.368380234
INSL6	0.014989572	0.034739164	0	0	0.014630704
MAGEL2	0.487813265	0.506005271	0.127145593	0.337266214	0.099834643
INSL3	0.091593918	0.063682195	0.078941388	0.22435694	0.035760421
RAB8B	5.901625095	9.344300797	6.736315324	5.075667839	2.694503055
HGS	8.790070968	8.766239184	8.273655684	6.429528632	19.22468169
RAB8A	9.393827018	8.345189187	13.6188075	8.475321993	18.3346767
RTN2	6.198294485	7.993269322	15.42542269	3.546512655	7.288422276
RTN3	29.11357898	30.37371344	57.27323425	15.22103301	24.33059861
RDM1	0.847552143	0.674590601	1.318910741	0.524256849	0.559863347
CLUL1	2.576242068	0.402454033	0.336275739	0.983864523	3.608785338
PDX1	0	0	0	0	0
LOC101930094	0	0	0	0	0
LOC101927410	0	0	0.005108167	0	0.004627996
INMT	1.011689547	3.516969963	0.679852305	0.317849067	1.486091258
LOC101927419	0	0	0	0	0
LOC101927418	0.093934651	0.163274073	0.050599237	0	0.412585862
TMEM246-AS1	0	0.045564858	0	0	0
MIR4799	0	0	0	0	0
LOC105375431	0.006617705	0	0	0	0.00645927
LOC100508631	0	0.007732	0	0	0
ADAP1	0.688087092	0.247717282	1.097549626	1.052477495	0.456436355
ADAP2	4.251858045	5.480784085	5.231556296	3.398645946	2.512922959
KLHL10	0.035671386	0.074403375	0.1152894	0.023829857	0.013926949
KLHL11	1.568074032	2.902345672	1.406501657	3.886776639	4.446162378
KLHL12	21.13053628	12.19039532	23.15940746	19.13828663	21.97205567
KLHL13	0.556908858	1.004475752	1.038215474	0.350469181	0.47740137
KLHL14	0.189675738	0.298289172	0.040138818	0.177244107	0.072731482
KLHL15	2.175533707	3.164476455	2.088186617	1.833933923	1.734018389
KLHL17	2.938397626	2.475802439	0.799453038	2.245762201	4.161101599
KLHL18	4.452055658	3.860886349	2.885531791	3.485824971	5.037005206
DMRTB1	0	0	0	0	0
C2orf82	0.315486308	0.196034852	0.201959096	0.259628158	0.142809601
C7orf61	0.241343436	0.049352365	0.152944797	0.110645767	0.249422184
LOC107986927	0.253474455	0.431941992	0.112442749	0.273917269	0.240129338
GABPB2	4.865097304	3.353968227	1.976393306	3.474610436	3.324394086
IGIP	4.635340906	4.867059414	1.538169976	3.326325496	3.23578039
ZNF529-AS1	2.317188822	1.353042104	2.359853059	1.773716962	4.585269006
SLC16A12-AS1	0	0	0	0	0
LOC105369340	0.651406123	2.067591277	3.051210262	0.662206573	0.414659158
RTEL1-TNFRSF6B	0.670379148	0.362665446	0.07284625	0.4323518	0.461990568
SLN	0.242612675	0.194631345	0.100528285	0.041557587	0.145725691
SLK	18.74664221	17.82132208	12.81999626	23.31360298	14.9946555
SLA	3.909905313	3.129936401	2.449594061	1.41247365	0.656939124
PHYH	4.640888527	12.66207097	19.64345883	5.306354412	15.96649933
GFY	0.018025839	0.041775882	0.01941975	0	0
NOTCH4	2.839432117	4.839933951	2.328353886	2.564667556	5.060398616
PHGR1	0.053905113	3.1023809	4.916890773	0	3.963630389
MEAF6	35.416623	28.26837493	29.89635666	19.56522132	27.63982147
MSMP	0	0	0	0	0
AZIN1	38.13694208	29.78265445	38.50360975	41.63542488	59.9886746
NOTCH1	6.061637259	8.896123382	4.443309503	6.278371323	5.433772512
NOTCH2	23.30467041	25.59644651	8.953933033	14.47768739	8.435372464
AZIN2	2.704183688	1.992446533	0.955360496	1.119374733	1.482012947
ZNF658	0.537656107	0.574476606	0.541619748	0.435363561	0.582714701
ZNF655	8.380657023	7.628656013	4.503518792	9.857607017	4.253057456
TCTEX1D2	5.360155449	1.336593536	7.134248739	2.780022456	6.476869558
TCTEX1D1	0.299984853	0.398178062	0.152777051	0.078946009	0.058560574
ZNF653	2.453512758	1.115862796	1.672028099	2.024563263	2.43476904
TCTEX1D4	0.243762266	0.15407252	0.071621462	0.222058036	0.216296651
MIR5692A2	0	0	0	0	0
MIR5692A1	0.245046916	0.28395491	0	0.272834592	0
N4BP2L1	3.502184968	2.470392608	1.272742641	0.878015489	2.742280213
RAPGEF5	3.302428757	3.773232752	3.463565916	5.870937041	2.802925917
RAPGEF6	1.523455994	1.517424662	1.585681908	1.400557435	1.322585211
N4BP2L2	7.608706734	4.057206684	1.941865052	4.947266544	5.682786407
RAPGEF1	14.23991355	16.22107629	8.358629716	16.72310057	14.20304146
RAPGEF2	3.259113774	4.754192835	2.194080694	4.190084803	4.052655135
RAPGEF3	2.697646387	2.597136523	0.957690474	1.363834119	1.710738532
ZNF384	11.61809002	6.012872639	4.479219067	8.21552825	8.371168859
ZNF383	1.470456175	1.438565434	1.118870139	1.359861804	3.550875594
ZNF382	0.506440396	0.647441279	0.523070393	0.475712833	1.889773026
POC1B	3.26913207	1.944503482	3.730203973	3.153382659	3.749408226
MIR4420	0.219587496	0.254453101	0	0	0
KRTAP3-2	0	0	0	0	0
KRTAP3-3	0	0	0	0	0
KRTAP3-1	0.116608532	0	0.025125138	0.103865307	0
SCHLAP1	0	0	0	0	0
SNRPD3	27.96106676	27.47163296	49.69226939	42.73497015	41.28453504
SNRPD2	73.88941711	69.95197414	94.43176978	58.49044272	48.43265385
SNRPD1	11.41452394	7.343840973	9.05776846	10.91799669	7.513786128
GRK6	11.73676258	9.258820915	6.905663011	10.10659519	12.78589851
LOC101928775	0	0	0	0	0.04167534
NMBR	0.010728577	0.012432036	0.023116403	0.047780677	0.052358612
PKP3	13.59534783	7.983054494	17.67218765	17.87610518	36.98128998
RBM26-AS1	0.636258725	0.61178756	0.44725026	0.452175825	1.065874339
LINC01551	0	0	0	0	0.00595362
IFT43	5.029511589	2.780198982	3.833510734	4.850792393	9.102205843
DVL2	5.660308935	5.442062189	4.038102834	4.085328286	12.24030431
IFT46	9.438289715	4.099403576	13.51134944	5.202456355	7.61996543
NOP14-AS1	1.86119859	2.635985591	1.850687306	2.726374079	3.229581066
GLDN	0.279279394	2.196795059	0.198883898	0.208177682	0.249492011
GLDC	0.043577931	0.046289041	2.891198662	0.044476258	12.71430832
QPCT	8.574473495	2.487746554	2.656313919	2.658326423	2.813013267
LINC01559	0.008554636	0	0	0.028574126	0.004174914
PC	5.009425426	17.21939558	9.512007709	2.070909841	6.794057731
GRK5	1.789857679	3.199238838	1.657630999	2.452705029	1.869603365
LINC01834	0	0	0	0	0
LINC01833	0.026200781	0.010120294	0	0	0.353766804
LINC01832	0	0	0	0	0
LINC01831	0	0	0	0	0
MKLN1-AS	0.622771167	1.046397374	0.62396407	1.130228603	0.39510985
DHRS12	3.784567132	2.695759164	2.025692001	3.674327306	3.408368883
DHRS13	1.114197695	1.444176924	2.635835245	1.310884954	3.352260132
LINC01838	0.010204126	0	0.021986391	0	0.039839311
GPR89B	0.904095903	0.41905848	0.740246273	1.145714308	0.802228004
GPR89A	1.104497049	2.337607568	0.953891677	1.06035787	0.941441198
MAP1LC3B2	0.373186899	0.587675781	0.47420677	0.490083189	1.167475559
LGMN	28.5345475	40.70335959	16.25352865	19.25047827	18.00182275
MIR3591	0	0	0	0	0
CAPS2	1.061662374	0.799649968	0.31589537	0.371502088	0.947423957
EHMT1	5.522603283	4.07588853	3.152055093	8.068273733	8.605774725
EHMT2	16.38630642	8.956441951	15.69916122	14.41943358	12.79474665
ADIPOR2	40.49289808	32.42593092	29.73148489	16.9712121	47.83974488
ADIPOR1	65.85898713	57.08507492	81.37460231	79.51201511	54.99421956
NBPF20	0.081002874	0.155752893	0.128502616	0.244797049	0.264993289
MARK4	6.808430841	5.380110878	6.007255527	8.054798932	7.095882829
STOX1	8.037099291	6.957452374	1.118061612	0.52762295	2.599475949
MARK1	0.396408736	1.768676871	0.302642657	2.898382764	0.548388076
MARK2	16.62799016	5.944088939	11.12656992	11.00351575	14.36340513
STOX2	0.333471442	0.59215177	0.20457763	0.118605323	0.203429845
IGBP1	39.70983954	40.08018975	32.47916642	35.66953298	41.53334804
RN7SL1	0	0	0	0	0
RN7SL2	13.07570343	16.9805036	11.35446875	24.72427073	116.569259
DNM1L	13.04455871	8.06639392	13.91819491	13.19497326	13.11300082
TPD52L2	23.57211422	19.95602923	21.11068288	24.63689391	35.94612576
TPD52L3	0	0	0	0	0
TPD52L1	9.706374475	4.839533816	5.156525256	1.454986107	5.495350341
EFCAB11	1.906300892	1.021888802	1.753115452	2.058977699	5.591924987
EFCAB10	0.406637202	0.121600551	0.176645901	0.233676796	0.198450919
EFCAB13	0.255955029	0.35532667	0.262096766	0.191867492	0.774216876
EFCAB12	1.339373776	0.128288269	0.180075856	0.106345593	0.432237853
EFCAB14	31.97903189	31.11793408	37.34441051	29.95020571	30.72763572
OR7E47P	1.010704091	0.121998062	0.147449831	1.312867825	1.140648337
CAPSL	7.001648879	0.362511598	0	1.011771628	0
ACTR3C	0.458040481	0.151647746	0.688024298	0.28267522	0.222259876
ACTR3B	1.240611029	0.806612951	0.88901448	1.84068238	1.345150455
WDR13	8.810126632	6.59060642	4.438407944	7.555068086	9.947275587
WDR12	3.235572757	2.823288324	2.779009306	6.824223503	1.85568405
WDR11	7.428265872	6.145264273	3.862668327	6.184284321	7.558046084
WDR17	0.331321758	0.579656417	1.126818046	0.371303839	1.826199719
WDR19	4.63818881	2.667441636	3.301125462	2.221389545	5.628242171
WDR18	12.28124822	6.832988786	14.25108078	9.217109556	16.96555867
LRFN1	1.080206812	0.562114821	2.898568528	0.796231564	0.649203427
LINC00879	0	0	0	0	0
FAM204A	3.582501713	3.148065029	2.442833312	3.098738227	3.540688903
LINC00877	0.051993349	0.048198988	0.007468522	0.023155703	0.030449141
LINC00870	0.040353788	0.040080918	0.180107751	0.019255629	0.101282585
LINC00871	0	0	0.040509396	0	0.012233828
USP9X	16.35964591	20.39838355	13.81248269	21.58429983	5.952678422
USP9Y	0.001504693	0.00348721	0	0	0
LINC01963	3.356940357	2.32152081	1.359814307	2.04521941	2.542619355
NLRP2B	0.021175	0.012268559	0.011406215	0.011788094	0.03616908
LINC01962	0.041139263	0	0.044320499	0	0
KRT33B	0	0	0	0	0
KRT33A	0	0	0.056614531	0	0.44881135
ZFP41	2.008923695	1.959288877	1.128267788	1.907078263	5.820386378
ZFP42	0	0.014753681	0.00685833	0.028351787	0.018640928
LOC100129345	0	0	0	0	0
MYADML2	0.068788597	0.844933364	0.133394245	0.007658904	0.10742675
CMPK1	20.71742902	37.0756173	51.99348012	34.742121	19.78780687
LDLRAD1	0.932622767	0.082496374	0.214753814	0.221943761	0.062539331
LDLRAD2	0.429296	1.042917687	0.259645082	0.859520112	0.305074624
LDLRAD3	22.30778572	25.7769612	21.08644393	10.95793176	3.387262293
LDLRAD4	12.52555431	4.249665891	2.793389458	11.69255525	4.142845571
DEFB134	0	0.018345401	0	0	0
DEFB135	0	0.083730294	0	0	0
DEFB136	0	0	0	0	0
DEFB130	0	0	0	0	0
DEFB131	0	0	0	0	0
DEFB132	0.095661879	1.080795844	0.008588272	0.06213065	0.186743247
DEFB133	0	0	0	0	0
LINC02119	0	0	0	0	0
LINC02118	0	0	0	0	0
LINC02115	0.078278876	0.090707818	5.39725193	0.087155495	0.076404789
LINC02114	0	0	0	0	0
LINC02116	0	0	0	0	0
NKX6-2	0	0	0	0	0.018508525
NKX6-3	0	0	0.037760625	0	0
LINC02112	0.020395944	0	0	0.015139193	0.072994684
KCTD13	5.913187249	5.070531593	2.578156548	3.365446404	10.64354395
KCTD12	13.36361879	35.98796629	13.04509289	11.008054	5.357982509
KCTD11	7.751452978	6.109955169	6.306360383	9.44359445	11.85374304
KCTD10	9.915271377	8.28800049	6.244863948	11.26291065	9.202776804
KCTD17	5.085822959	2.974799695	6.479462935	3.669164989	2.0969906
KCTD16	0.029572263	0.098690919	0.005097447	0.011853245	0.031173411
KRTAP10-9	0	0	0	0	0
KCTD14	0.857301441	0.594602842	3.249437297	0.55738229	0.40922654
KRTAP10-7	0	0	0	0	0
KRTAP10-6	0	0	0	0	0
KRTAP10-5	0	0	0	0	0
KRTAP10-4	0	0	0	0	0.010044695
KRTAP10-3	0	0	0	0	0
KRTAP10-2	0	0	0	0	0
KRTAP10-1	0	0	0	0	0
MIR1302-10	0	0	0	0	0
H6PD	16.37129499	19.03165056	7.291371201	9.425921449	8.190632763
SLC25A35	7.158991881	1.825049685	5.637199042	3.695554	3.972343228
SLC25A34	0.56096186	0.386338652	0.085519837	0.259256908	0.206615768
SLC25A37	4.964343114	2.734394812	3.988812308	3.983713235	3.295825203
SLC25A36	11.31307451	6.201194939	3.53893113	11.53319623	9.604501753
SLC25A31	0	0	0	0	0.008964386
SLC25A30	3.43938531	3.985483114	1.796369727	4.11203575	2.511709048
SLC25A33	2.140949597	3.146859924	1.195790994	2.950351442	1.288929368
SLC25A32	6.885456195	6.793702811	7.233447553	7.274693112	10.74033039
SLC25A39	34.34875297	41.53625739	89.8490907	26.08673209	78.27196117
SLC25A38	15.94923908	14.52843216	18.82545665	20.76853445	26.63106515
TUBA1C	21.36622847	26.26487875	27.17215075	24.72408102	19.77133548
TUBA1B	141.9648521	67.4129136	106.4146972	89.12393103	98.2864027
TUBA1A	75.64965753	38.08614742	25.51585953	59.84456503	143.2532848
FAR2P1	0.337117794	0.019410911	0.015790722	0.496575851	0.089925835
IGSF10	0.791559838	2.188682893	0.852769947	0.197454352	0.204058839
IGSF11	0.04141638	0.01599746	0.003718254	0.034584667	0.064005972
FAM102B	5.149285703	4.274621697	14.52974259	5.535990318	13.55910182
FAM102A	32.01754881	23.20633137	48.19403115	30.51596767	101.1444096
RIMKLA	1.468480682	0.357781289	0.040565027	0.811212795	1.61157021
RIMKLB	6.271682827	3.957677149	1.048265429	2.162354215	6.021963278
LOC100505851	0.14386767	0.184259142	0.03263005	0.008430626	0.014781401
CTPS2	9.175250307	7.926052462	8.238400609	8.486888881	7.410072041
PCID2	9.427770887	5.212844505	2.914866176	6.021896034	11.30893685
POMT1	5.671380036	3.503920276	5.737638203	7.288825368	10.97871462
POMT2	3.367461541	2.56946294	1.657463615	3.534968366	5.896203076
AIF1	15.71564993	18.25700999	11.67747905	11.19797838	5.755508112
AGPS	2.708370798	5.052990955	8.468967791	7.448014902	0.98050172
HOXA13	0.033244666	0.181058941	0.025070798	0.003701452	0.058407751
STOM	67.87086954	172.1086402	136.2135253	151.7938032	82.88357144
LY6G6F	0	0	0	0	0.017938516
NPLOC4	11.74251818	19.14675865	14.14981709	13.02296446	21.21623896
TMEM86A	3.725949039	3.315506513	5.645458101	4.840611655	5.546523119
TMEM86B	0.605245352	0.246216805	0.402327519	0.351277135	1.200364048
LGALS13	0	0	0	0	0
LGALS12	1.035350207	19.55836385	0.216662812	0.879080267	0.959671081
LGALS16	0	0	0	0	0
LGALS14	0.109691993	0.018158377	0	0	0
SSBP4	10.51221606	8.20872206	10.36961092	8.437964785	13.6011829
LOC101927657	0.035671386	0	0.307438401	0.119149284	0.034817372
TBX18-AS1	0.016289246	0.047189038	0	0	0.015899263
LOC101927653	0	0.057967127	0.007698954	0	0.013950494
PBLD	2.814770344	1.352409376	1.743384379	2.165743267	1.531641253
PGPEP1	5.196135125	5.635560958	4.226920291	6.854316063	11.53045809
SMU1	10.62165869	8.107307386	9.982585749	13.57334856	16.54977944
OR13G1	0.036597916	0	0	0.040748023	0.05358258
LOC105374328	0.056834411	0	0	0.047459463	0
SSRP1	32.27352754	19.41626459	32.16200488	14.88659406	18.75852977
IRAK1BP1	1.069375383	0.571524202	0.726986649	1.412792649	0.864340576
MIR770	0	0.199927436	0	0	0.336804786
LOC100506085	0	0	0	0.025877095	0.003780856
LOC100506082	0.146391664	0.212044251	0.473135721	0.081496047	0.03572172
LOC100506083	0.168185383	0.324815795	0.338223016	0.187257164	0.809850234
C1orf174	4.878265333	5.362593303	3.200620825	3.286326237	3.471438022
LINC00403	0	0	0	0	0
RBBP8NL	3.390122744	0.477019848	1.108726565	4.293554895	4.32528251
GPC1	16.95753991	5.950633345	14.81076004	7.560859543	16.49330348
GPC2	0.547706743	0.342926737	0.080895332	0.545883004	0.926917037
